[2024-12-16 12:54:20 : INFO] - Cache for URL: https://www.adventistas.org/es/mujer/ has been purged, triggered by action: save_post 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/audio-de-libros/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/eventos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/featured/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/fechas-especiales/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/informativo-mundial-de-las-misiones-2otrim-2017/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/noticias/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/preferidos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/pretrimestral-1er-2017/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/primero-dios/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/promocional/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/series/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/series-estudios-biblicos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:21 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/sermon-mensual-de-fidelidad/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/sermones/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/testimonios/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/videocasts/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/videochats/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/videos-musicales/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/vinetas/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/0-dias-de-oracion-y-10-horas-de-ayuno/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/160-anos-de-la-escuela-sabatica/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/adra-ninos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/amigos-y-hermanos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/asn-tv/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/biblia-facil-daniel/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/cambio-de-actitud/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/camporitv-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/capacitacion-teologica-para-lideres/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/capsulas-de-salud/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/centenario-elena-g-white/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/ciclo-de-discipulado-fase-2/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/conectados-entrenamiento-para-adolescentes/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:22 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/cuenta-regresiva-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/cuenta-regresiva-2013/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/culto-joven-promocional/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/curso-de-liderazgo-nivel-3/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/curso-de-liderazgo/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/curso-de-liderazgo-para-adolescentes/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/curso-de-liderazgo-para-mujeres/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/descifrando-el-futuro/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/dia-del-pastor/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:54:23 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/mujer/collection/el-rescate-de-la-verdad/  have been purged, triggered by action: edit_terms 
