[2024-12-16 12:53:56 : INFO] - Cache for URL: https://www.adventistas.org/es/ninos/ has been purged, triggered by action: save_post 
[2024-12-16 12:53:56 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/audio-de-libros/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:56 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/eventos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:56 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/featured/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:56 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/fechas-especiales/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/informativo-mundial-de-las-misiones-2otrim-2017/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/noticias/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/preferidos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/pretrimestral-1er-2017/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/primero-dios/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/promocional/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/series/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/series-estudios-biblicos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/sermon-mensual-de-fidelidad/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/sermones/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/testimonios/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/videocasts/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/videochats/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/videos-musicales/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/vinetas/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/0-dias-de-oracion-y-10-horas-de-ayuno/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/160-anos-de-la-escuela-sabatica/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/adra-ninos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/amigos-y-hermanos/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/asn-tv/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/biblia-facil-daniel/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/cambio-de-actitud/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:57 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/camporitv-2014/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/capacitacion-teologica-para-lideres/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/capsulas-de-salud/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/centenario-elena-g-white/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/ciclo-de-discipulado-fase-2/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/conectados-entrenamiento-para-adolescentes/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/cuenta-regresiva-2012/  have been purged, triggered by action: edit_terms 
[2024-12-16 12:53:58 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/ninos/collection/cuenta-regresiva-2013/  have been purged, triggered by action: edit_terms 
