[2026-04-06 13:55:16 : INFO] - Cache for URL: https://www.adventistas.org/es/ has been purged, triggered by action: save_post 
[2026-04-06 13:55:32 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/audio-de-libros/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:32 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/eventos/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:32 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/featured/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:32 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/fechas-especiales/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:32 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/informativo-mundial-de-las-misiones-2otrim-2017/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/noticias/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/preferidos/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/pretrimestral-1er-2017/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/primero-dios/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/promocional/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/series/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/series-estudios-biblicos/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/sermon-mensual-de-fidelidad/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/sermones/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/testimonios/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/videocasts/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/videochats/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/videos-musicales/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/vinetas/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/0-dias-de-oracion-y-10-horas-de-ayuno/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/160-anos-de-la-escuela-sabatica/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/adra-ninos/  have been purged, triggered by action: edit_terms 
[2026-04-06 13:55:33 : INFO] - Cache for term page with URL: https://www.adventistas.org/es/blog/coleccion/amigos-y-hermanos/  have been purged, triggered by action: edit_terms 
